Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Sri Lanka,LKA,Asia (South),Asia,1,,,0,0,,0,,0,0,,,,0,,,,0,0,,0,,7
Sudan,SDN,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,,,3
Suriname,SUR,America (south),America,0,,,0,,0,0,,0,,,,,0,,,,,,,0,,3
Sweden,SWE,Europe (west),Europe,10,0,,0,0,0,0,,2,0,0,6,0,0,0,0,0,1,0,0,0,0,10
Switzerland,CHE,Europe (west),Europe,20,0,0,0,0,0,0,,7,0,0,4,0,0,0,0,0,4,3,0,0,0,10
Syrian Arab Republic,SYR,Asia (west),Asia,0,0,,0,0,0,0,,0,,,0,,0,,,,,,0,0,,5
Tajikistan,TJK,Asia (west),Asia,0,,,0,,,,0,0,0,,,,,,,,0,0,,0,,3
Tanzania (United Republic of),TZA,Africa,Africa,0,,,0,,,,,0,,,0,,0,,,,0,0,,0,0,4
Thailand,THA,Asia (East & South East),Asia,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Timor-Leste,TLS,Asia (East & South East),Asia,0,,,0,,,,,0,,,0,,0,,,,,,,0,,6
Togo,TGO,Africa,Africa,0,,,0,0,0,,,0,,,,,0,,,,,,,,,3
Tonga,TON,Oceania,Oceania,0,,,0,,,,,0,,,,,0,,,,,,,0,0,6
Trinidad & Tobago,TTO,America (Central & Carribbean),America,1,,,0,0,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,8
Tristan da Cunha,SHN,Africa,Africa,0,,,0,,,,,0,,,,,0,,0,0,,,,0,0,1
Tunisia,TUN,Africa,Africa,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Turkey,TUR,Asia (west),Asia,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Turkmenistan,TKM,Asia (west),Asia,0,,,0,,,0,0,0,,,,,,0,,,,,0,0,,3
Turks & Caicos Islands,TCA,America (Central & Carribbean),America,1,,,0,,,,,0,,0,0,0,0,,,,,0,0,0,,7
